Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"2,4-D Ethyl Ester Technical 97% min.",45,---,"1.     Insecticides India Ltd, Delhi
2.     Swati Chlorides Pvt Ltd, Vadodara
3.     Ambey Laboratories Pvt Ltd, New Delhi
4.     Crystal Phosphates, Delhi.
5.     Atul Ltd., Valsad
6.     Bharat Rasayan Ltd., Delhi
7.     Megmani Organics Ltd., Ahmedabad"
"2,4-D       Sodium       Salt Technical 94.5% min. 80% min
Dichlorophenoxy acitic acid",45,---,"1.     Insecticides India Ltd, Delhi
2.     Atul Ltd., Valsad
3.     Megmani Organics Ltd., Ahmedabad
4.     Bharat Rasayan Ltd. Delhi (80%)
5.     Excel Phosphate Pvt. Ltd. Delhi 94.5% min u/s 9 (4).
6.     Agro Allied Venture Pvt.Ltd. 94.5% min u/s 9 (4).
7.     Bhanshidhar Chemicals, 94.0% min u/s 9 (4).
8.      Bhaskar Agrochemicals Ltd., Hyderabad, 97.0% min u/s 9 (4)."
Abamectin  Technical  95% w/w min,,"Hebei Veyong Bio Chemicals Co Ltd. East Heping Road, Shijiazhuan City,  Hebei,  Province  China  valid upto  23.12.2020  (by  M/s  Crystal Crop Protection Pvt. Ltd., Delhi)",
Abamectin 1.9% w/wEC,,"Syngenta   Crop   Protection   AG Switzerland (by M/s Syngenta India Ltd., Pune)",
"Acephate Technical 97%
min, 99% min.,",272,"1.     Chevron Chemical International Inc., USA.
2.     Zing Hung Fine Chemical, South Korea
3.     Sundet (S) Pte. Ltd, Singapore
4.     Tianjin Rotam Chemical Industries Co. Ltd, Tianjin, China.
5.     Zhenjiang Hangzhou Metals Minerals Machinery & Chemical, I-E Crop, Hangzhion, China
6.     M/s Hubei Sanonda Co. Ltd. 93, East Beijing Road Jiangzhou, Hubei, China – 434001. valid upto 07.02.2017 (by M/S ADAMA India Pvt. Ltd.,)
7.     M/s Nantong Weilike Chemical Co., Ltd., Yangkou Chemistry Industrial Park, Rudonk Country, JiangsuProvince, 226407,","1.  Shaw Wallace, Chennai
2.  Cheminova India Ltd., Mumbai
3.  United Phosphorus Ltd., Mumbai
4.  Hindustan Insecticides Ltd., New Delhi
5.  Heranba Industries Ltd, Mumbai
6.  Punjab Chemicals & Crop Protection  Ltd
7.  Insecticides India Ltd
8.  Hemani Industries Ltd
9.  Shivalik Rasyan Limited, New Delhi
10. India Pesticides Limited, Bareilly
11. Sabero Organics Gujarat Ltd.
12. Hyderabad Chemical Products Ltd.
13. GHARDA Chemicals Ltd.
14. Megmani Organics Ltd., Ahmedabad
15. Sudarshan Chemical Industries Ltd., Pune
16. Bayer Crop Science
17. HPM Chemicals & Fertilizers Ltd.,
18. Best Crop Science LLP, Gajraula, UP
19. Jai Shree Rasayan Udyog Ltd. 97.0% min, 9(4)
20. Oriyo Organics Pvt. Ltd., Yamunanagar, 97.0% min, 9(4)
21. Agrisol (I) Pvt. Ltd .97.0% min, 9(4)
22. Spectrum Ethers Ltd. 97.0% min, 9(4)
23. M/s UPL limited Mumbai, 99.0% min, 9(3), in 403rd RC."
,,"China. Through Supplier: - M/s Willowood (Hangzhou) Co. Ltd., Room No. 2003, Golden Plaza, No. 118, Qingchun Road, Xiacheng District, Hangzhou City, Zhejiang Province China.
Valid upto 18.12.2019 (By- M/s Willowood Chemicals Pvt. Ltd., Kolkata, 97% min.
in 390th RC- TI vs TIM)",
Acetamiprid Technical 99% w/w min.,598,"1.     Nippon Soda Co. Ltd., Japan
2.     Zhejiang Hisun Chemical Co. Ltd.,  No.  97,  Waisa  road, Jiaojiang, Taizhou, Zhejiang, China
Supplier –  Willowood Ltd., Hong Kong
3.     M/s.     Zhengzhou     Labor Agrochemicals    Co.    Ltd., Factory   address   57,   south City      road,      Zhengzhou, Henan, China
Supplier - M/s. Agro Dragon Co. Ltd, Rm. 822, East Building No. 1500, Century Avenue, Pudong New Area, Shanghai-200122, China","1.  Rallis India Limited, Bangalore
2.  Gharda Chemicals, Mumbai
3.  Punjab Chemicals & Crop Protection Ltd.
4.  Crystal Phosphates Ltd.
5.  Tagros Chemicals India Limited, Chennai
6.  Atul Limited, Vapi
7.  Hyderabad Chemicals Products Limited, Hyderabad
8.  GSP Crop Science Private Limited, Ahmedabad
9.  Astec Chemicals Private Ltd., Mumbai
10.  Rotam India Limited, Mumbai
11.  Salvi Chemical Industries, Mumbai
12.  Parijat Agencies, Delhi
13. D Orgochem Limited, Mumbai
14.  Pharmaceutical Ltd, Chandigarh
15.  Insecticide India Ltd, Delhi
16.  Spectrum Ethers Limited, Rasegon,                MS
17.  Bharat Rasayan Limited, New                       Delhi.
18.  Sabero Organics Gujarat Limited
19.  India Pesticide Ltd
20.  Heranba Industries Ltd., Mumbai
21.  Megmani Organics Ltd.,"
,,"4.  M/s HebeiYetian Agrochemical co. ltd. Industrial Zone, South of Yuanshi country, Shijianzhuang, China.Through Supplier: M/s Hebei Bestar Commerce and trade Co. ltd., 6-3-203 no. 66 Dianda Street Xinhua District, Shijianzhuang, China. Valid upto 28.11.2022 (By-Crystal Crop Protection Pvt. Ltd. In 393rd RC, 99% w/w min)","Ahmedabad
22.  Sudarshan Chemical Industries                      Ltd., Pune
23.  Bhagiradha Chemicals & Industries Ltd.
24.  HPM Chemicals & Fertilizers Ltd.,
25. M/s Crimsun Organics Pvt. Ltd., 99% w/w min. 9(4), in 404th RC."
Afidopyropen 50 g/l DC,,"M/s BASF Agri Production S.A.S, Zone Industrielle Lyon Nord, Rue jacquard, 69727 Genay, France, there is no date of expiration in the authorization letter in France. (By- M/s BASF India Ltd. Mumbai in 388th RC)- 50 g/l DC, FI/9(3)",
"Alachlor Technical 90% min.
{To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th
August, 2018}",134,"Monsanto Agricultural Products Co., USA. Supplier
-. Sinochem International (Overseas) Pte. Ltd., 9 Raffles Place, No. 50-01 Republic Plaza,    Singapore","Siris India Ltd., Hyderabad."
